pfam_accession	pfam_id	description
PF15233.12	SYCE1	Synaptonemal complex central element protein 1
PF18581.8	SYCP2_ARLD	Synaptonemal complex 2 armadillo-repeat-like domain
PF18584.8	SYCP2_SLD	Synaptonemal complex 2 Spt16M-like domain
PF07348.18	Syd	Syd protein (SUKH-2)
PF08231.18	SYF2	SYF2 splicing factor
PF02383.24	Syja_N	SacI homology domain
PF08845.16	SymE_toxin	Toxin SymE, type I toxin-antitoxin system
PF11935.15	SYMPK_PTA1_N	Symplekin/PTA1 N-terminal
PF12295.14	Symplekin_C	Symplekin tight junction protein C terminal
PF28215.1	Symport_access	Symporter small accessory protein
PF05835.18	Synaphin	Synaphin protein
PF02078.23	Synapsin	Synapsin pre-ATP-grasp domain
PF02750.19	Synapsin_C	Synapsin, ATP binding domain
PF10581.16	Synapsin_N	Synapsin N-terminal domain
PF00957.28	Synaptobrevin	Synaptobrevin
PF15191.11	Synaptonemal_3	Synaptonemal complex central element protein 3
PF15138.12	Syncollin	Syncollin
PF01034.27	Syndecan	Syndecan domain
PF10474.16	Syndetin_C	Syndetin, C-terminal
PF25035.2	SYNE1	Nesprin-1 domain
PF25804.1	SYNE3	Nesprin-3 domain
PF25999.1	SYNRG_C	Synergin gamma, C-terminal domain
PF15290.12	Syntaphilin	Golgi-localised syntaxin-1-binding clamp
PF00804.32	Syntaxin	Syntaxin
PF10496.15	Syntaxin-18_N	SNARE-complex protein Syntaxin-18 N-terminus 
PF11416.14	Syntaxin-5_N	Syntaxin-5 N-terminal, Sly1p-binding domain
PF14523.13	Syntaxin_2	Syntaxin-like protein
PF11421.14	Synthase_beta	ATP synthase F1 beta subunit
PF23012.3	Syntrophin_4th	Syntrophin C-terminal PH domain
PF01387.23	Synuclein	Synuclein
PF11089.14	SyrA	Exopolysaccharide production repressor
PF09801.15	SYS1	Integral membrane protein S linking to the trans Golgi network
PF22421.2	SYY_C-terminal	Tyrosine--tRNA ligase SYY-like C-terminal domain
PF01023.26	S_100	S-100/ICaBP type calcium binding domain
PF18159.7	S_4TM	SMODS-associating 4TM effector domain
PF05124.18	S_layer_C	S-layer like family, outer domain
PF05123.18	S_layer_N	S-layer like family, central region
PF00954.26	S_locus_glycop	S-locus glycoprotein domain
PF14928.12	S_tail_recep_bd	Short tail fibre protein receptor-binding domain
PF00907.28	T-box	T-box
PF16176.11	T-box_assoc	T-box transcription factor-associated
PF27870.1	T1-F	Trichocyst matrix protein T1-F
PF11867.14	T1RH-like_C	Type I restriction enzyme HindI endonuclease subunit-like, C-terminal
PF22679.3	T1R_D3-like	Type I restriction enzyme subunit R domain 3
PF22092.2	T26-6p_Ig-like_dom	T26-6p, immunoglobulin-like domain
PF22265.3	T26-6p_Ig-like_dom_2	T26-6p, second immunoglobulin-like domain
PF13629.13	T2SS-T3SS_pil_N	Pilus formation protein N terminal region
PF16537.12	T2SSB	Type II secretion system protein B 
PF11356.15	T2SSC	Type II secretion system protein C
PF00437.27	T2SSE	Type II/IV secretion system protein
PF00482.29	T2SSF	Type II secretion system (T2SS), protein F
PF28597.1	T2SSF_N	Type II secretion system protein F, N-terminal domain
PF08334.17	T2SSG	Type II secretion system (T2SS), protein G
PF02501.23	T2SSI	Type II secretion system (T2SS), protein I
PF11612.15	T2SSJ	Type II secretion system (T2SS), protein J
PF03934.20	T2SSK	Type II secretion system (T2SS), protein K
PF21687.4	T2SSK_1st	Type II secretion system (T2SS), protein K
PF05134.20	T2SSL	Type II secretion system (T2SS), protein L
PF04612.18	T2SSM	Type II secretion system (T2SS), protein M
PF10741.15	T2SSM_b	Type II secretion system (T2SS), protein M subtype b
PF01203.26	T2SSN	Type II secretion system (T2SS), protein N
PF12528.14	T2SSppdC	Type II secretion prepilin peptidase dependent protein C
PF16549.11	T2SSS_2	Type II secretion system (T2SS) pilotin, S protein
PF28037.1	T2SS_GspM_synerg	Type II secretion system protein GspM-like, Synergistales
PF27877.1	T2SS_GspM_XcpZ	Type II secretion system protein GspM, XcpZ-type
PF28042.1	T2SS_GspN_synerg	Type II secretion system protein GspN-like, Synergistales
PF09691.16	T2SS_PulS_OutS	Type II secretion system pilotin lipoprotein (PulS_OutS)
PF18273.7	T3RM_EcoP15I_C	Type III R-M EcoP15I C-terminal domain
PF11439.13	T3SchapCesA	Type III secretion system filament chaperone CesA
PF16535.11	T3SSipB	Type III cell invasion protein SipB
PF18269.7	T3SS_ATPase_C	T3SS EscN ATPase C-terminal domain
PF22342.2	T3SS_CopN_3rd	T3SS, Low calcium response E, third helical domain
PF28030.1	T3SS_coreg_PtrC	Type III secretion system co-regulatory protein PtrC-like
PF18286.7	T3SS_ExsE	Type III secretion system ExsE
PF16937.12	T3SS_HrpK1	Type III secretion system translocator protein, HrpF
PF13327.12	T3SS_LEE_assoc	Type III secretion system subunit
PF08988.16	T3SS_needle_E	Type III secretion system, cytoplasmic E component of needle
PF09392.17	T3SS_needle_F	Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF
PF09025.16	T3SS_needle_reg	YopR, type III needle-polymerisation regulator
PF06416.19	T3SS_NleG	Effector protein NleG
PF06635.17	T3SS_SCTL	Type 3 secretion system stator protein
PF06511.17	T3SS_TC	Type III secretion systems tip complex components
PF21304.3	T3S_SPI-1_N0	SPI-1 type 3 secretion system secretin, N0 domain
PF09198.17	T4-Gluco-transf	Bacteriophage T4 beta-glucosyltransferase
PF16724.12	T4-gp15_tss	T4-like virus Myoviridae tail sheath stabiliser
PF12293.14	T4BSS_DotH_IcmK	Putative outer membrane core complex of type IVb secretion
PF11393.15	T4BSS_DotI_IcmL	Type-IV b secretion system, inner-membrane complex component
PF12608.15	T4bSS_IcmS	Type IVb secretion, IcmS, effector-recruitment
PF28241.1	T4P_EbsA	Type IV pilus, essential for biofilm suppression A-like
PF05567.18	T4P_PilY1	PilY1 beta-propeller domain
PF07996.17	T4SS	Type IV secretion system proteins
PF02534.21	T4SS-DNA_transf	Type IV secretory system Conjugative DNA transfer
PF28177.1	T4SS_AnkD	Dot/Icm T4SS effector AnkD/LegA15
PF16943.11	T4SS_CagC	Cag pathogenicity island, type IV secretory system
PF28186.1	T4SS_Ceg10	Dot/Icm T4SS effector Ceg10
PF28185.1	T4SS_Ceg14	Dot/Icm T4SS effector Ceg14/SidL
PF28181.1	T4SS_Ceg17	Dot/Icm T4SS effector Ceg17
PF28182.1	T4SS_Ceg19	Dot/Icm T4SS effector Ceg19
PF28184.1	T4SS_Ceg32	Dot/Icm T4SS effector Ceg32/SidI
PF28183.1	T4SS_Ceg9	Dot/Icm T4SS effector Ceg9
PF28175.1	T4SS_LegC2C7	Dot/Icm T4SS effector LegC2/C7
PF28187.1	T4SS_Lem8	Dot/Icm T4SS effector Lem8
PF18895.6	T4SS_pilin	Type IV secretion system pilin
PF16932.11	T4SS_TraI	Type IV secretory system, conjugal DNA-protein transfer
PF12322.15	T4_baseplate	T4 bacteriophage base plate protein
PF25623.2	T4_CASP	T4-phage like capsid assembly scaffolding protein family
PF24050.3	T4_Cef	Phage T4 Cef protein family
PF00837.23	T4_deiodinase	Iodothyronine deiodinase
PF08994.16	T4_Gp59_C	T4 gene Gp59 loader of gp41 DNA helicase C-term
PF08993.16	T4_Gp59_N	T4 gene Gp59 loader of gp41 DNA helicase
PF23618.1	T4_gp9_10_C	Bacteriophage T4 gp9/10-like protein, C-terminal
PF07880.17	T4_gp9_10_N	Bacteriophage T4 gp9/10-like protein, N-terminal
PF24070.2	T4_MRH	T4 MRH-like protein family
PF11649.13	T4_neck-protein	Virus neck protein
PF24210.2	T4_RIIA1	RIIA.1-like protein
PF20819.3	T4_Rnl1_C	T4 RNA ligase 1, C-terminal domain
PF18043.7	T4_Rnl2_C	T4 RNA ligase 2 C-terminal
PF25676.2	T4_Spackle	Bacteriophage T4 Spackle protein
PF11091.15	T4_tail_cap	Tail-tube assembly protein
PF25671.2	T4_Tape_measure	Phage T4-tail tape measure protein
PF21134.3	T4_UVSX_C	Bacteriophage T4, Recombination and repair protein, C-terminal domain
PF25721.2	T4_Y03C	Phage T4 Y03C protein family
PF24448.2	T4_y05I_C	y05I-like putative transcription factor C-terminal domain
PF24449.2	T4_y05I_N	y05I-like putative transcription factor N-terminal domain
PF25744.2	T4_Y13H	Bacteriophage T4 Y13H protein
PF26092.1	T4_Y16D	Phage T4 y16D protein
PF10544.16	T5orf172	T5orf172 domain
PF25747.3	T5_p143	Bacteriophage T5 tail completion protein p143
PF26823.1	T5_Terminase_small	Putative phage T5 terminase, small subunit
PF21141.4	T6PP_C	Trehalose-6-phosphate phosphatase, C-terminal
PF18572.8	T6PP_N	Trehalose-6-phosphate phosphatase N-terminal helical bundle domain
PF12790.14	T6SS-SciN	Type VI secretion lipoprotein, VasD, EvfM, TssJ, VC_A0113
PF20232.4	T6SS_FHA_C	C-terminal domain of Type VI secretion system FHA protein
PF05638.19	T6SS_HCP	Type VI secretion system effector, Hcp
PF08906.17	T6SS_Tdi1_C	T6SS immunity protein Tdi1, C-terminal
PF21576.3	T6SS_Tgi2PP	T6SS, Immunity protein Tgi2PP
PF22137.3	T6SS_Tle1-like_C	T6SS, Phospholipase effector Tle1-like, C-terminal domain
PF09994.15	T6SS_Tle1-like_cat	T6SS, Phospholipase effector Tle1-like, catalytic domain
PF22115.3	T6SS_Tse3_cat	T6SS, Peptidoglycan muramidase Tse3, catalytic domain
PF22120.3	T6SS_Tse3_N	T6SS, Peptidoglycan muramidase Tse3, N-terminal domain
PF21643.3	T6SS_Tsi2-like	T6SS, Immune protein Tsi2-like
PF05947.18	T6SS_TssF	Type VI secretion system, TssF
PF06996.17	T6SS_TssG	Type VI secretion, TssG
PF05936.18	T6SS_VasE	Bacterial Type VI secretion, VC_A0110, EvfL, ImpJ, VasE 
PF16989.11	T6SS_VasJ	Type VI secretion, EvfE, EvfF, ImpA, BimE, VC_A0119, VasJ
PF13296.12	T6SS_Vgr	Putative type VI secretion system Rhs element Vgr
PF21277.3	T6SS_VgrG3-like_C	Type VI secretion system spike protein VgrG3-like, C-terminal
PF05591.18	T6SS_VipA	Type VI secretion system, VipA, VC_A0107 or Hcp2
PF18002.7	T6_Ig_like	T6 antigen Ig like domain
PF10922.15	T7-like_gp12	Bacteriophage T7-like, gene 1.2
PF17570.8	T7-like_gp67	Bacteriophage T7-like, protein 6.7
PF10911.14	T7-like_Y65	Bacteriophage T7-like gene 6.5
PF28108.1	T7SS_assoc-like	Type VII secretion system-associated protein-like
PF21545.4	T7SS_EccA1_N	T7SS, ESX-1 secretion system protein EccA1, N-terminal domain
PF05108.19	T7SS_ESX1_EccB	Type VII secretion system ESX-1, transport TM domain B
PF10824.15	T7SS_ESX_EspC	Excreted virulence factor EspC, type VII ESX diderm
PF21725.4	T7SS_signal	Putative T7SS secretion signal domain
PF24072.2	T7_gp14	T7 virus internal virion protein gp14 family
PF17116.12	T9SS_plug_1st	Type 9 secretion system plug protein 1st domain
PF11494.14	Ta0938	Ta0938
PF11513.14	TA0956	Thermoplasma acidophilum protein TA0956
PF19020.8	Ta1207	Ta1207 family
PF15401.12	TAA-Trp-ring	Tryptophan-ring motif of head of Trimeric autotransporter adhesin
PF20429.5	Tab2-like_C	RNA-binding protein Tab2/Atab2, C-terminal domain
PF06485.18	Tab2-like_N	RNA-binding protein Tab2/Atab2 N terminal
PF08681.19	TacA1	Antitoxin TacA 1-like
PF05010.20	TACC_C	Transforming acidic coiled-coil-containing protein (TACC), C-terminal
PF02202.22	Tachykinin	Tachykinin family
PF14517.13	Tachylectin	Tachylectin
PF11406.13	Tachystatin_A	Antimicrobial peptide tachystatin A
PF11478.13	Tachystatin_B	Antimicrobial chitin binding protein tachystatin B
PF09305.17	TACI-CRD2	TACI, cysteine-rich domain
PF18551.7	TackOD1	Thaumarchaeal output domain 1
PF20772.3	TACO1_YebC_N	TACO1/YebC protein N-terminal domain
PF13400.12	Tad	Putative Flp pilus-assembly TadE/G-like
PF18521.7	TAD2	Transactivation domain 2
PF11195.15	Tad2-like	Thoeris anti-defense 2-like domain
PF25185.2	Tad3	Type I Thoeris inhibitor Tad3
PF25186.2	Tad4	Type I Thoeris inhibitor Tad4
PF25190.2	Tad5	Type I Thoeris inhibitor Tad5
PF25188.1	Tad6	Type I Thoeris inhibitor Tad6
PF25189.2	Tad8	Type II Thoeris inhibitor Tad8
PF22941.2	TADA2A-like_3rd	Transcriptional adapter 2-alpha-like domain
PF19360.5	TadB_TadC_N	TadB/TadC N-terminal domain
PF07811.18	TadE	TadE-like protein
PF16964.11	TadF	Putative tight adherence pilin protein F
PF22439.1	TAdV_Fibre-like_head	Turkey Adenovirus 3 Fibre protein-like, head domain
PF21194.4	TadZ-like_ARD	TadZ-like, receiver domain
PF16968.12	TadZ_N	Pilus assembly protein TadZ N-terminal
PF09977.15	Tad_C	Putative Tad-like Flp pilus-assembly
PF14113.13	Tae4	Type VI secretion system (T6SS), amidase effector protein 4
PF05596.17	Taeniidae_ag	Taeniidae antigen
PF02969.24	TAF	TATA box binding protein associated factor (TAF)
PF03540.20	TAF10	Transcription initiation factor TFIID 23-30kDa subunit
PF20641.4	TAF1C_beta-prop	TAF1C, beta-propeller
PF20643.3	TAF1C_C	TAF1C, C-terminal domain
PF20642.3	TAF1C_HB	TAF1C, helical bundle domain
PF15333.12	TAF1D	TATA box-binding protein-associated factor 1D
PF14929.13	TAF1_subA	TAF RNA Polymerase I subunit A
PF25316.2	TAF2_3rd	TAF2 Ig-like domain
PF05236.21	TAF4	Transcription initiation factor TFIID component TAF4 family
PF07571.20	TAF6_C	TAF6 C-terminal HEAT repeat domain
PF10406.15	TAF8_C	Transcription factor TFIID complex subunit 8 C-term 
PF12020.14	TAFA	TAFA family
PF07531.20	TAFH	NHR1 homology to TAF
PF10610.15	Tafi-CsgC	Thin aggregative fimbriae synthesis protein
PF04719.21	TAFII28	hTAFII28-like protein conserved region
PF04658.19	TAFII55_N	TAFII55 protein conserved region
PF22786.3	Tag1_C	Tag1 C-terminal domain
PF22787.2	Tag1_M	Tag1 middle barrel-like domain
PF20775.3	Tag1_N	Tag1 N-terminal domain
PF12561.14	TagA	ToxR activated gene A lipoprotein domain
PF09867.15	TagF_N	TagF N-terminal domain, Type VI secretion system-associated
PF22096.2	TagH_C	Teichoic acid transporter subunit TagH C-terminal domain
PF22269.3	TagH_SH3-like	Teichoic acid transporter subunit TagH, SH3-like domain
PF20691.4	TAGT	TET-Associated Glycosyltransferase
PF16695.11	Tai4	Type VI secretion system (T6SS), amidase immunity protein
PF21519.3	Tailspike_C	Tailspike protein, C-terminal
PF11367.15	Tail_completion_gp17	Tail completion protein gp17
PF09684.16	Tail_P2_I	Phage tail protein (Tail_P2_I)
PF18668.7	Tail_spike_N	Tail spike TSP1/Gp66 receptor binding N-terminal domain
PF10618.15	Tail_tube	Phage tail tube protein
PF04822.19	Takusan	Takusan
PF22856.2	Tal-1A_2A	Peptide tarsal-less 1A/2A
PF21896.3	Talin_IBS2B	Talin IBS2B domain
PF09141.17	Talin_middle	Talin, middle domain
PF21692.4	Talin_R4	Talin, R4 domain
PF25177.1	Talin_VBS2	Talin VBS2 domain
PF15324.12	TALPID3	Hedgehog signalling target
PF03377.20	TAL_effector	TAL effector repeat
PF00923.26	TAL_FSA	Transaldolase/Fructose-6-phosphate aldolase
PF21899.3	Tal_Pri	Tarsal-less (Tal)/polished rice (Pri) peptide
PF28428.1	TAM12	TAM12
PF09139.18	Tam41_Mmp37	Phosphatidate cytidylyltransferase, mitochondrial
PF04357.20	TamB	TamB C-terminal domain
PF27051.1	TamB_N	TamB, N-terminal domain
PF11640.14	TAN	Telomere-length maintenance and DNA damage repair
PF05742.18	TANGO2	Transport and Golgi organisation 2
PF25267.2	TANGO6_N	TANGO6 N-terminal domain
PF15327.12	Tankyrase_bdg_C	Tankyrase binding protein C terminal domain
PF07519.18	Tannase	Tannase and feruloyl esterase
PF15386.12	Tantalus	Drosophila Tantalus-like
PF09162.17	Tap-RNA_bind	Tap, RNA-binding
PF07265.18	TAP35_44	Tapetum specific protein TAP35/TAP44
PF04177.19	TAP42	TAP42-like family
PF09718.16	Tape_meas_lam_C	Lambda phage tail tape-measure protein (Tape_meas_lam_C)
PF15251.12	TAPR1-like	Telomere attrition and p53 response 1 protein-like
PF28146.1	TapY2	Type IVa secretion system protein TapY2-like
PF03943.20	TAP_C	TAP C-terminal domain
PF09281.17	Taq-exonuc	Taq polymerase, exonuclease
PF12950.14	TaqI_C	TaqI-like C-terminal specificity domain
PF25050.1	TARBP1	TARBP1 domain
PF27855.1	Target_ACGX	ACGX-repeat peptide
PF27850.1	Targ_of_XrtJ	XrtJ-associated TM-motif-TM protein
PF02203.22	TarH	Tar ligand binding domain homologue
PF21951.2	TARP	T-cell receptor gamma alternate reading frame protein
PF21731.3	TARSH_C	Target of Nesh-SH3 C-terminal domain
PF18674.8	TarS_C1	TarS beta-glycosyltransferase C-terminal domain 1
PF22377.3	TarS_C2	TarS C-terminal domain 2
PF22181.2	TarS_linker	Glycosyl transferase TarS linker domain
PF05296.20	TAS2R	Taste receptor protein (TAS2R)
PF22378.2	Tas3-like_N	Tas3-like, N-terminal domain
PF21487.4	Tas3_C-hel	Tas3, C-terminal helical domains
PF07708.17	Tash_PEST	Tash protein PEST motif
PF15133.12	TASL	TLR adaptor interacting with SLC15A4 on the lysosome
PF23314.2	TASOR_alpha-beta	TASOR alpha/beta domain
PF00539.24	Tat	Transactivating regulatory protein (Tat)
PF02416.22	TatA_B_E	mttA/Hcf106 family
PF27442.1	TatB_C	TatB C-terminal domain
PF00902.24	TatC	Sec-independent protein translocase protein (TatC)
PF01026.28	TatD_DNase	TatD related DNase
PF03430.21	TATR	Trans-activating transcriptional regulator
PF16811.12	TAtT	TRAP transporter T-component
PF10518.15	TAT_signal	TAT (twin-arginine translocation) pathway signal sequence
PF07706.18	TAT_ubiq	Aminotransferase ubiquitination site
PF09734.16	Tau95	RNA polymerase III transcription factor (TF)IIIC subunit HTH domain
PF17682.7	Tau95_N	Tau95 Triple barrel domain
PF02668.23	TauD	Taurine catabolism dioxygenase TauD, TfdA family
PF01925.26	TauE	Sulfite exporter TauE/SafE
PF01361.27	Tautomerase	Tautomerase enzyme
PF21420.4	Tautomerase-like	Tautomerase-like
PF14552.12	Tautomerase_2	Tautomerase enzyme
PF14832.12	Tautomerase_3	Putative oxalocrotonate tautomerase enzyme
PF02959.22	Tax	HTLV Tax
PF09728.15	Taxilin	Myosin-like coiled-coil protein
PF28483.1	TAXIMIN	TAXIMIN
PF14541.12	TAXi_C	Xylanase inhibitor C-terminal
PF14543.12	TAXi_N	Xylanase inhibitor N-terminal
PF22332.2	TAZ1_RBM	RAP1 binding motif of  TAZ1
PF17574.8	TA_inhibitor	Inhibitor of toxin/antitoxin system (Gp4.5)  
PF00683.23	TB	TB domain
PF03134.25	TB2_DP1_HVA22	TB2/DP1, HVA22 family
PF19430.4	TBC1D23_C	TBC1 domain family member 23 C-terminal
PF02970.23	TBCA	Tubulin binding cofactor A
PF25541.1	TBCA_PH	PH domain-containing proteins, TBCA domain
PF07986.18	TBCC	Tubulin binding cofactor C
PF16752.11	TBCC_N	Tubulin-specific chaperone C N-terminal domain
PF12845.13	TBD	TBD domain
PF18394.7	TBK1_CCD1	TANK-binding kinase 1 coiled-coil domain 1
PF18396.8	TBK1_ULD	TANK binding kinase 1 ubiquitin-like domain
PF00352.28	TBP	Transcription factor TFIID (or TATA-binding protein, TBP)
PF09247.17	TBP-binding	TATA box-binding protein binding
PF22721.2	TBP-TOTE	TATA-binding-like protein domain of the TOTE conflict systems
PF17484.9	TbpB_A	N-Lobe handle Tf-binding protein B
PF01298.25	TbpB_B_D	C-lobe and N-lobe beta barrels of Tf-binding protein B
PF17483.9	TbpB_C	C-lobe handle domain of Tf-binding protein B
PF21664.3	TBPIP_C	TBP-interacting protein, C-terminal domain
PF15517.13	TBPIP_N	TBP-interacting protein N-terminus
PF19138.7	TbsP_N	Transcriptional regulator TbsP-like, N-terminal
PF03558.19	TBSV_P22	TBSV core protein P21/P22
PF20627.3	TBX2-3_RD	T-box transcription factor 2/3, repressor domain
PF12598.14	TBX2-3_TAD	T-box transcription factor 2/3, TAD domain
PF20054.5	Tc-38	Trypanosoma Tc-38 (p38) protein
PF22785.2	Tc-R-P	Polymorphic toxin system, DSP-PTPase phosphatase
PF15063.12	TC1	Thyroid cancer protein 1
PF22813.2	TcaA_2nd	TcaA protein second domain
PF22820.3	TcaA_3rd_4th	TcaA protein 3rd/4th domain
PF22819.3	TcaA_5th	TcaA protein NTF2-like domain
PF19971.5	TCAD2	Ternary complex associated domain 2
PF19972.5	TCAD3	Ternary complex associated domain 3
PF19973.5	TCAD7	Ternary complex associated domain 7
PF19974.6	TCAD9	Ternary complex associated domain 9
PF27027.1	TCAF_helical	TCAF all helical domain
PF27016.1	TCAF_N	TRPM8, N-terminal domain
PF18518.8	TcA_RBD	TcA receptor binding domain
PF18276.8	TcA_TcB_BD	Tc toxin complex TcA C-terminal TcB-binding domain
PF21963.3	TcdA1_RBD_2	TcdA1, receptor binding domain
PF21968.4	TcdA1_RBD_3	TcdA1, receptor binding domain
PF12919.14	TcdA_TcdB	TcdA/TcdB catalytic glycosyltransferase domain
PF12920.13	TcdA_TcdB_pore	TcdA/TcdB pore forming domain
PF12918.13	TcdB_N	TcdB toxin N-terminal helical domain
PF12255.14	TcdB_toxin_midC	Insecticide toxin TcdB middle/C-terminal region
PF12256.15	TcdB_toxin_midN	Insecticide toxin TcdB middle/N-terminal region
PF12104.14	Tcell_CD4_C	T cell CD4 receptor C terminal region
PF04910.21	Tcf25	Transcriptional repressor TCF25
PF16967.12	TcfC	E-set like domain
PF01840.23	TCL1_MTCP1	TCL1/MTCP1 family
PF10452.15	TCO89	TORC1 subunit TCO89
PF03634.20	TCP	TCP family transcription factor
PF07202.19	Tcp10_C	T-complex protein 10 C-terminus
PF05794.19	Tcp11	T-complex protein 11
PF05946.18	TcpA	Toxin-coregulated pilus subunit TcpA
PF21497.5	TcpC-like_C	Conjugal transfer protein-like, C-terminal domain
PF12648.13	TcpE	TcpE family
PF06340.17	TcpF	Vibrio cholerae toxin co-regulated pilus biosynthesis protein F
PF10671.15	TcpQ	Toxin co-regulated pilus biosynthesis protein Q
PF17456.8	TcpS	Toxin-coregulated pilus protein S
PF03638.22	TCR	Tesmin/TSO1-like CXC domain, cysteine-rich domain
PF14944.12	TCRP1	Tongue Cancer Chemotherapy Resistant Protein 1
PF11628.14	TCR_zetazeta	T-cell surface glycoprotein CD3 zeta chain
PF01970.22	TctA	Tripartite tricarboxylate transporter TctA family
PF07331.17	TctB	Tripartite tricarboxylate transporter TctB family
